========================================
Antarctic_Heat 调参结果汇总
生成时间: 2026-04-23 15:14:15
========================================

格式: window_size | contrastive_weight | learning_rate | MSE | MAE | best_epoch
3 | 0.00001 | 0.0002 | 0.14929433166980743 | 0.26453733444213867 | N/A
3 | 0.00001 | 0.0005 | 0.15270814299583435 | 0.267270028591156 | N/A
3 | 0.00001 | 0.0012 | 0.15014606714248657 | 0.26386749744415283 | N/A
3 | 0.00001 | 0.001 | 0.14919258654117584 | 0.26379919052124023 | N/A
3 | 0.00001 | 0.002 | 0.15719452500343323 | 0.26767927408218384 | N/A
3 | 0.00005 | 0.0001 | 0.14830903708934784 | 0.26458731293678284 | N/A
3 | 0.00005 | 0.0002 | 0.14927640557289124 | 0.26450029015541077 | N/A
3 | 0.00005 | 0.0005 | 0.153625950217247 | 0.26792386174201965 | N/A
3 | 0.00005 | 0.0012 | 0.14641748368740082 | 0.26180917024612427 | N/A
3 | 0.00005 | 0.001 | 0.15066732466220856 | 0.2647320628166199 | N/A
3 | 0.00005 | 0.002 | 0.15123414993286133 | 0.2639051377773285 | N/A
3 | 0.0001 | 0.0001 | 0.1483328938484192 | 0.26460710167884827 | N/A
3 | 0.0001 | 0.0002 | 0.14924359321594238 | 0.26444533467292786 | N/A
3 | 0.0001 | 0.0005 | 0.1526739001274109 | 0.2672051191329956 | N/A
3 | 0.0001 | 0.0012 | 0.1504596471786499 | 0.26433438062667847 | N/A
3 | 0.0001 | 0.001 | 0.15170283615589142 | 0.26636555790901184 | N/A
3 | 0.0001 | 0.002 | 0.15497241914272308 | 0.2667752206325531 | N/A
3 | 0.0005 | 0.0001 | 0.1485057771205902 | 0.26475247740745544 | N/A
3 | 0.0005 | 0.0002 | 0.1487276405096054 | 0.26408088207244873 | N/A
3 | 0.0005 | 0.0005 | 0.15125778317451477 | 0.2658092975616455 | N/A
3 | 0.0005 | 0.0012 | 0.15024976432323456 | 0.264988511800766 | N/A
3 | 0.0005 | 0.001 | 0.15439832210540771 | 0.26907119154930115 | N/A
3 | 0.0005 | 0.002 | 0.15406575798988342 | 0.2668438255786896 | N/A
3 | 0.001 | 0.0001 | 0.1488523632287979 | 0.26499268412590027 | N/A
3 | 0.001 | 0.0002 | 0.14938504993915558 | 0.26477840542793274 | N/A
3 | 0.001 | 0.0005 | 0.15213996171951294 | 0.2669491469860077 | N/A
3 | 0.001 | 0.0012 | 0.1518878936767578 | 0.26662135124206543 | N/A
3 | 0.001 | 0.001 | 0.1531030386686325 | 0.2689377963542938 | N/A
3 | 0.001 | 0.002 | 0.15053731203079224 | 0.26325011253356934 | N/A
3 | 0.005 | 0.0001 | 0.15054351091384888 | 0.26611465215682983 | N/A
