number,value,datetime_start,datetime_complete,duration,params_contrastive_weight,params_d_ff,params_d_model,params_e_layers,params_learning_rate,params_window_size,state
24,0.1548837274312973,2025-06-02 17:30:23.243113,2025-06-02 17:39:16.817238,0 days 00:08:53.574125,0.0392338221827973,512,512,3,0.0022073509398502144,22,COMPLETE
25,0.1454644352197647,2025-06-02 17:39:16.837338,2025-06-02 17:47:18.829859,0 days 00:08:01.992521,0.02691011162913539,512,512,3,0.0007916280642249373,23,COMPLETE
26,0.1541120558977127,2025-06-02 17:47:18.850392,2025-06-02 17:53:25.145253,0 days 00:06:06.294861,0.020009415826158426,512,512,3,0.0006440758096771344,22,COMPLETE
27,0.1632876992225647,2025-06-02 17:53:25.165355,2025-06-02 17:58:33.046347,0 days 00:05:07.880992,0.014665728432217173,512,512,3,0.0002949930826494511,19,COMPLETE
28,0.6058699488639832,2025-06-02 17:58:33.065850,2025-06-02 18:02:43.536213,0 days 00:04:10.470363,0.02574786030108851,512,512,3,0.0038407064802435074,18,COMPLETE
29,0.15061575174331665,2025-06-02 18:02:43.555640,2025-06-02 18:14:28.293591,0 days 00:11:44.737951,0.045151210686189144,512,512,3,0.0017595309638425572,13,COMPLETE
30,0.1647908091545105,2025-06-02 18:14:28.313247,2025-06-02 18:19:38.948324,0 days 00:05:10.635077,0.03043016506460623,512,512,3,0.00013207515413041522,22,COMPLETE
31,0.14810968935489655,2025-06-02 18:19:38.968600,2025-06-02 18:30:27.215007,0 days 00:10:48.246407,0.02419395961422036,512,512,3,0.001070388134598951,24,COMPLETE
32,0.14389005303382874,2025-06-02 18:30:27.235770,2025-06-02 18:39:25.657086,0 days 00:08:58.421316,0.029001613475740696,512,512,3,0.0007638617936178708,23,COMPLETE
33,0.1630363017320633,2025-06-02 18:39:25.676449,2025-06-02 18:44:34.951947,0 days 00:05:09.275498,0.04445300302126137,512,512,3,0.00043669409084449626,21,COMPLETE
34,0.1482553482055664,2025-06-02 18:44:34.971915,2025-06-02 18:51:39.012232,0 days 00:07:04.040317,0.03296042220053669,512,512,3,0.0007024130199228557,23,COMPLETE
35,0.15142807364463806,2025-06-02 18:51:39.031679,2025-06-02 19:05:24.043691,0 days 00:13:45.012012,0.05474470969477716,512,512,3,0.0016050949848996653,20,COMPLETE
36,0.14481189846992493,2025-06-02 19:05:24.063053,2025-06-02 19:19:09.614795,0 days 00:13:45.551742,0.028480343727154994,512,512,3,0.0007604781084927534,23,COMPLETE
37,0.15893138945102692,2025-06-02 19:19:09.635569,2025-06-02 19:24:16.192915,0 days 00:05:06.557346,0.06433807858269579,512,512,3,0.0003983700949658512,20,COMPLETE
38,0.16442741453647614,2025-06-02 19:24:16.212831,2025-06-02 19:29:28.615573,0 days 00:05:12.402742,0.03777700497484106,512,512,3,0.00022093039228013957,22,COMPLETE
39,0.3897349238395691,2025-06-02 19:29:28.636065,2025-06-02 19:47:51.962237,0 days 00:18:23.326172,0.04969179492900939,512,512,3,0.004112492209436429,17,COMPLETE
40,0.16107892990112305,2025-06-02 19:47:51.981899,2025-06-02 19:55:47.015441,0 days 00:07:55.033542,0.01888157168447403,512,512,3,6.869358730394812e-05,5,COMPLETE
41,0.14421346783638,2025-06-02 19:55:47.034973,2025-06-02 20:09:32.499932,0 days 00:13:45.464959,0.02725388766812214,512,512,3,0.0008268462424492598,23,COMPLETE
42,0.15013699233531952,2025-06-02 20:09:32.519845,2025-06-02 20:23:19.741009,0 days 00:13:47.221164,0.02887452555267351,512,512,3,0.0013770540569459759,23,COMPLETE
43,0.14529578387737274,2025-06-02 20:23:19.761057,2025-06-02 20:32:16.468773,0 days 00:08:56.707716,0.0360068746298829,512,512,3,0.0008654859788086333,21,COMPLETE
44,0.1589239239692688,2025-06-02 20:32:16.488387,2025-06-02 20:36:29.379031,0 days 00:04:12.890644,0.022918127658437516,512,512,3,0.0003565002927516271,23,COMPLETE
45,0.16795900464057922,2025-06-02 20:36:29.398946,2025-06-02 20:44:25.730170,0 days 00:07:56.331224,0.029069643433177465,512,512,3,3.585633918447681e-05,10,COMPLETE
46,0.19889679551124573,2025-06-02 20:44:25.750337,2025-06-02 20:48:37.394935,0 days 00:04:11.644598,0.0343330843478733,512,512,3,0.002595472926588634,19,COMPLETE
47,0.15163306891918182,2025-06-02 20:48:37.414779,2025-06-02 20:54:43.421112,0 days 00:06:06.006333,0.08205472090285618,512,512,3,0.0005930682100782314,23,COMPLETE
48,0.14534898102283478,2025-06-02 20:54:43.441048,2025-06-02 21:09:18.646016,0 days 00:14:35.204968,0.04294252475408548,512,512,3,0.0008308324421144466,21,COMPLETE
49,0.1624516099691391,2025-06-02 21:09:18.666007,2025-06-02 21:17:13.387740,0 days 00:07:54.721733,0.020936936152010772,512,512,3,0.0001415263218785216,4,COMPLETE
