number,value,datetime_start,datetime_complete,duration,params_contrastive_weight,params_d_ff,params_d_model,params_e_layers,params_learning_rate,params_window_size,state
68,65.30706787109375,2025-06-16 14:09:59.272143,2025-06-16 14:10:48.764872,0 days 00:00:49.492729,0.00017782721175459268,256,256,2,0.00022421244398660668,7,COMPLETE
69,65.17467498779297,2025-06-16 14:10:48.785091,2025-06-16 14:11:54.311703,0 days 00:01:05.526612,0.00023671051552866273,512,256,2,9.994374185799603e-05,5,COMPLETE
70,64.01085662841797,2025-06-16 14:11:54.331790,2025-06-16 14:13:35.731167,0 days 00:01:41.399377,0.0002662645394046351,512,256,3,0.0001887717553059858,9,COMPLETE
71,64.71026611328125,2025-06-16 14:13:35.750714,2025-06-16 14:14:41.097966,0 days 00:01:05.347252,0.00011322419567358347,512,256,2,0.00012328655157688506,6,COMPLETE
72,63.306129455566406,2025-06-16 14:14:41.118188,2025-06-16 14:15:43.919633,0 days 00:01:02.801445,0.0002944766336549077,256,256,2,0.00015973581861720922,9,COMPLETE
73,62.99871063232422,2025-06-16 14:15:43.939551,2025-06-16 14:16:47.137114,0 days 00:01:03.197563,0.00022745038290492012,256,256,2,0.00021955457129081967,9,COMPLETE
74,63.378562927246094,2025-06-16 14:16:47.157437,2025-06-16 14:17:50.330823,0 days 00:01:03.173386,0.0005206104326268018,256,256,2,0.00015660468093657912,9,COMPLETE
75,63.04680252075195,2025-06-16 14:17:50.351337,2025-06-16 14:18:53.704036,0 days 00:01:03.352699,0.00023869070922138112,256,256,2,0.00021340084328360837,9,COMPLETE
76,63.00533676147461,2025-06-16 14:18:53.724246,2025-06-16 14:19:57.120880,0 days 00:01:03.396634,0.00022010184900653326,256,256,2,0.00021887868407581397,9,COMPLETE
77,62.9923210144043,2025-06-16 14:19:57.141074,2025-06-16 14:21:00.009569,0 days 00:01:02.868495,0.00021486301829746056,256,256,2,0.00023662686079240272,9,COMPLETE
78,63.04613494873047,2025-06-16 14:21:00.029867,2025-06-16 14:22:03.515593,0 days 00:01:03.485726,0.0002071271233274952,256,256,2,0.00021141652844046586,9,COMPLETE
79,66.74382019042969,2025-06-16 14:22:03.536063,2025-06-16 14:23:18.675635,0 days 00:01:15.139572,0.00021770724364230363,256,512,2,0.00022013025688563984,9,COMPLETE
80,62.99887466430664,2025-06-16 14:23:18.695517,2025-06-16 14:24:22.223917,0 days 00:01:03.528400,0.00014812725894456575,256,256,2,0.00024646387220652753,9,COMPLETE
81,64.1467056274414,2025-06-16 14:24:22.243850,2025-06-16 14:25:35.839410,0 days 00:01:13.595560,0.00015067077938107798,256,256,4,0.0002461681686456359,9,COMPLETE
82,63.33039855957031,2025-06-16 14:25:35.859595,2025-06-16 14:26:38.740579,0 days 00:01:02.880984,0.00022445390820173547,256,256,2,0.00026966604998483106,9,COMPLETE
83,62.943851470947266,2025-06-16 14:26:38.760248,2025-06-16 14:27:42.100442,0 days 00:01:03.340194,0.0001643120476341813,256,256,2,0.00023242342486894145,9,COMPLETE
84,65.58478546142578,2025-06-16 14:27:42.120598,2025-06-16 14:28:31.941313,0 days 00:00:49.820715,0.00014043422313438252,256,256,2,0.00023107944045073939,12,COMPLETE
85,63.11991500854492,2025-06-16 14:28:31.962571,2025-06-16 14:29:34.821718,0 days 00:01:02.859147,0.0001829096468318359,256,256,2,0.00018240385991347868,9,COMPLETE
86,63.726219177246094,2025-06-16 14:29:34.842424,2025-06-16 14:30:17.870653,0 days 00:00:43.028229,0.0002113715666375485,256,256,2,0.0002812161726769883,11,COMPLETE
87,63.046993255615234,2025-06-16 14:30:17.891209,2025-06-16 14:31:21.028534,0 days 00:01:03.137325,0.00016685909102428508,256,256,2,0.00019893830886329926,9,COMPLETE
88,63.06124496459961,2025-06-16 14:31:21.049088,2025-06-16 14:32:24.714999,0 days 00:01:03.665911,0.0001643140661279513,256,256,2,0.00019797098537313433,9,COMPLETE
89,63.04173278808594,2025-06-16 14:32:24.734868,2025-06-16 14:33:27.798627,0 days 00:01:03.063759,0.00011093825165534221,256,256,2,0.0001987180095755077,9,COMPLETE
90,65.93708038330078,2025-06-16 14:33:27.819359,2025-06-16 14:34:38.522327,0 days 00:01:10.702968,0.000117770674260448,256,256,3,0.0002461386832376171,9,COMPLETE
91,63.174800872802734,2025-06-16 14:34:38.542103,2025-06-16 14:35:41.445993,0 days 00:01:02.903890,0.0001339118306526799,256,256,2,0.00025909914298781483,9,COMPLETE
92,63.06549072265625,2025-06-16 14:35:41.466114,2025-06-16 14:36:44.547242,0 days 00:01:03.081128,0.00016526929824283804,256,256,2,0.00019303751321581112,9,COMPLETE
93,63.04840850830078,2025-06-16 14:36:44.567566,2025-06-16 14:37:47.829090,0 days 00:01:03.261524,0.00010223178355563855,256,256,2,0.00020028620059628742,9,COMPLETE
94,63.16244125366211,2025-06-16 14:37:47.848591,2025-06-16 14:38:51.314200,0 days 00:01:03.465609,0.00011146813124035356,256,256,2,0.0001763744221890557,9,COMPLETE
95,62.98936462402344,2025-06-16 14:38:51.334294,2025-06-16 14:39:54.302737,0 days 00:01:02.968443,0.00010541057263185729,256,256,2,0.0002100710945511555,9,COMPLETE
96,62.9513053894043,2025-06-16 14:39:54.322959,2025-06-16 14:40:57.398766,0 days 00:01:03.075807,0.00013334525630508384,256,256,2,0.0002300283247873004,9,COMPLETE
97,65.69992065429688,2025-06-16 14:40:57.419160,2025-06-16 14:41:53.903709,0 days 00:00:56.484549,0.0001360978156279816,256,256,2,0.00022611647979476788,8,COMPLETE
98,64.3451156616211,2025-06-16 14:41:53.925070,2025-06-16 14:43:17.987931,0 days 00:01:24.062861,0.00019854067298233146,256,512,2,0.00021252365851028363,4,COMPLETE
99,63.54635238647461,2025-06-16 14:43:18.007853,2025-06-16 14:44:28.248306,0 days 00:01:10.240453,0.00012217982898276154,256,256,2,0.00023694970924173262,2,COMPLETE
100,67.01148986816406,2025-06-16 14:44:28.268569,2025-06-16 14:45:18.231277,0 days 00:00:49.962708,0.00013954631827409612,256,256,2,0.00033691916135831487,10,COMPLETE
101,63.800682067871094,2025-06-16 14:45:18.251561,2025-06-16 14:46:21.652838,0 days 00:01:03.401277,0.0001022753676901311,256,256,2,0.0002886680921042075,9,COMPLETE
